conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/1e3c3e4d-a888-426e-aaf0-022c8b5d743d,7223,مشغل آلة قطع المياه النفاثة / مشغلة آلة قطع المياه النفاثة,,,released,2024-01-23T14:46:50.132Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يقوم مشغلو آلة قطع المياه النفاثة بإعداد وتشغيل آلات قطع المياه النفاثة، مصممة لقطع المواد الزائدة من شغل معدني باستخدام آلة قطع مياه نفاثة عالية الضغط أو مادة كاشطة مختلطة بالماء.,7223.4.8,http://data.europa.eu/ux2/nace2.1/241
Occupation,http://data.europa.eu/esco/occupation/1e3c569b-e7ef-46b4-943a-2768a9969961,8160,مشغل معمل التخمير/ مشغلة معمل التخمير,,,released,2024-01-24T09:16:32.196Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يراقب مشغلو معمل التخمير عمليات استخلاص المواد الخام وتنقيتها وغليانها. ويتأكدون من نظافة أوعية التخمير بشكل صحيح وفي الوقت المناسب. وهم يشرفون على العمل في معمل التخمير ويُشغّلون معدات معمل التخمير من أجل توفير كميات جيدة الجودة خلال الوقت المحدد.,8160.7,http://data.europa.eu/ux2/nace2.1/1105
Occupation,http://data.europa.eu/esco/occupation/1e55f5e3-2f02-434b-997b-9a9f3eb745e8,3123,مشرف خطوط الكهرباء / مشرفة خطوط الكهرباء,,,released,2024-01-25T09:06:29.113Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يراقب مشرفو خطوط الكهرباء إنشاء خطوط الكهرباء والمعدات المرتبطة بها وصيانتها. ويقومون بتعيين المهام ويتخذون قرارات سريعة لحل المشكلات.,3123.1.18,"http://data.europa.eu/ux2/nace2.1/3514,
http://data.europa.eu/ux2/nace2.1/3513,
http://data.europa.eu/ux2/nace2.1/4222"
Occupation,http://data.europa.eu/esco/occupation/1e9e18cb-80b6-4598-acdb-ae3b51047720,8332,مشغل نظم وقود الطائرات / مشغلة نظم وقود الطائرات,,,released,2024-01-16T13:32:11.842Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يحافظ مشغلو نظم وقود الطائرات على أنظمة توزيع الوقود ويتأكدون من إعادة تزويد الطائرات بالوقود. ,8332.1,"http://data.europa.eu/ux2/nace2.1/511,
http://data.europa.eu/ux2/nace2.1/5121"
Occupation,http://data.europa.eu/esco/occupation/1eb56b85-af25-43d4-9e35-73d8ee78e228,2355,مدرس الرقص / مدرسة الرقص,,,released,2024-01-25T10:50:33.659Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يُعلِّم مدرسو الرقص الطلاب في سياق ترفيهي مختلف أنواع الرقص والنماذج مثل الباليه والجاز والرقص الإيقاعي والرقص الثنائي والهيب هوب واللاتيني والرقص الشعبي، وغير ذلك. حيث يُقدِّمون للطلاب فكرة عن تاريخ الرقص وذخيرته الفنية، ولكن بشكل أساسي يكون التركيز على النهج القائم على الممارسة في دوراتهم، حيث يساعدون الطلاب على تجربة أنماط وأساليب التعبير والرقص الدرامية المختلفة وإتقانها وتشجيعهم على تطوير أسلوبهم الخاص. إنهم يلقون عروضًا ويصممونها وينتجونها وينسقون الإنتاج الفني واستخدام التجهيزات والإكسسوارات والأزياء على خشبة المسرح.,2355.3,http://data.europa.eu/ux2/nace2.1/8552
Occupation,http://data.europa.eu/esco/occupation/1ee1b792-4d5f-4555-be4e-ce7e4c05d1a9,5164,مدرب الحيوانات / مدربة الحيوانات,,,released,2024-01-23T13:43:26.027Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يتولى مدربو الحيوانات مسؤولية التعامل مع الحيوانات في دور العمل ومواصلة تدريب الحيوان وفقًا للتشريعات الوطنية.,5164.2,http://data.europa.eu/ux2/nace2.1/9699
Occupation,http://data.europa.eu/esco/occupation/1ee8dfca-19b0-4e1a-88ed-68548f80951b,1324,مدير استيراد وتصدير الزهور والنباتات / مديرة استيراد وتصدير الزهور والنباتات,,,released,2024-01-26T11:39:20.429Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يقوم مديرو استيراد وتصدير الزهور والنباتات بوضع والحفاظ على الإجراءات الخاصة بالأعمال عبر الحدود وتنسيق الأطراف الداخلية والخارجية.,1324.3.2.13,"http://data.europa.eu/ux2/nace2.1/4622,
http://data.europa.eu/ux2/nace2.1/4611"
Occupation,http://data.europa.eu/esco/occupation/1f137f0b-7097-4583-9d1b-b69e57369319,5312,مساعد الاحتياجات التعليمية الخاصة / مساعدة الاحتياجات التعليمية الخاصة,,,released,2024-01-23T13:57:58.765Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يساعد مساعدو الاحتياجات التعليمية الخاصة المعلمين في التعليم الخاص في مهام الفصول الدراسية. وهم يساعدون في تلبية الاحتياجات الجسدية للطلاب الذين يعانون من مجموعة متنوعة من الإعاقات ويساعدون في أداء مهام مثل استراحات الذهاب إلى دورات المياه وركوب الحافلات وتناول الطعام والفصول الدراسية. كما يُقدِّمون الدعم التعليمي للطلاب والمعلمين وأولياء الأمور ويُعِّدون برامج الدروس. ويوفر مساعدو الاحتياجات التعليمية الخاصة للطلاب دعمًا مصممًا خصيصًا لتلبية احتياجاتهم الخاصة، والمساعدة في المهام الصعبة ورصد تقدم الطلاب وسلوك الفصل الدراسي.,5312.4,http://data.europa.eu/ux2/nace2.1/8569
Occupation,http://data.europa.eu/esco/occupation/1f13d8c3-f601-4d3b-adc8-c8d52e0c15d5,3412,موجِه متطوع,"شخص دعم المتطوع
مستشارة متطوع
متطوع دعم المجموعة
مستشار متطوع
شخص المشاركة التطوعية",,released,2024-02-22T14:06:47.091Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","يعمل الموجهون المتطوعون على إرشاد المتطوعين خلال عملية الاندماج، ويعرفوهم بثقافة المجتمع المضيف، ويساعدوهم في تلبية متطلبات المجتمع الإدارية والفنية والعملية . كما يدعموا المتطوعين في عمليات التعلم والتطور الشخصي المتصلة بتجربتهم في التطوع.
	",3412.6,http://data.europa.eu/ux2/nace2.1/8899
Occupation,http://data.europa.eu/esco/occupation/1f1a45a8-8f5c-4b66-a8a1-e02490addc55,9629,خادم غرفة الخزانات الصغيرة / خادمة غرفة الخزانات الصغيرة,,,released,2024-01-15T11:42:42.898Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",يقدم خدم غرف الخزانات الصغيرة المساعدة للعملاء في التعامل مع الأغراض والمتعلقات الشخصية في غرف تغيير الملابس، وعادة ما يكون ذلك في مناطق الرياضة أو المسرح. كما أنهم يحافظون على النظافة العامة للمناطق المخصصة ويساعدون في حل مشكلات العثور على المفقودات.,9629.6,http://data.europa.eu/ux2/nace2.1/811
